Time	Open	High	Low	Close	Volume
2006-12-31 20:00:00	1.31908	1.31964	1.31894	1.31915	47067
2007-01-01 00:00:00	1.31925	1.31973	1.31872	1.31933	190662
2007-01-01 04:00:00	1.31942	1.31985	1.31666	1.31681	180095
2007-01-01 08:00:00	1.3169	1.31706	1.3165	1.31676	176961
2007-01-01 12:00:00	1.31674	1.31949	1.31661	1.31903	577226
2007-01-01 16:00:00	1.31892	1.32095	1.31837	1.31917	675743
2007-01-01 20:00:00	1.31883	1.32343	1.31865	1.32329	197250
2007-01-02 00:00:00	1.32318	1.32393	1.32226	1.32382	197988
2007-01-02 04:00:00	1.3236	1.32811	1.32233	1.32734	190584
2007-01-02 08:00:00	1.32757	1.32887	1.32637	1.32721	185310
2007-01-02 12:00:00	1.32735	1.32951	1.3266	1.32845	574215
2007-01-02 16:00:00	1.32817	1.32886	1.32673	1.32751	669694
2007-01-02 20:00:00	1.32704	1.32839	1.32645	1.32792	190163
2007-01-03 00:00:00	1.32793	1.32903	1.32734	1.32849	194014
2007-01-03 04:00:00	1.32856	1.32856	1.32659	1.32723	185677
2007-01-03 08:00:00	1.3271	1.32736	1.3217	1.32301	186690
2007-01-03 12:00:00	1.32338	1.32571	1.31596	1.31659	577315
2007-01-03 16:00:00	1.31672	1.31725	1.31461	1.31576	677568
2007-01-03 20:00:00	1.3152	1.31713	1.3152	1.31596	193966
2007-01-04 00:00:00	1.3163	1.31771	1.3159	1.31672	196114
2007-01-04 04:00:00	1.31653	1.31783	1.31128	1.31196	185219
2007-01-04 08:00:00	1.31219	1.3128	1.30868	1.31069	181008
2007-01-04 12:00:00	1.31084	1.31158	1.30754	1.30928	582540
2007-01-04 16:00:00	1.30904	1.30984	1.3073	1.30768	672671
2007-01-04 20:00:00	1.30704	1.3093	1.30704	1.30769	192398
2007-01-05 00:00:00	1.30783	1.3091	1.30601	1.30671	189857
2007-01-05 04:00:00	1.30682	1.31029	1.30641	1.30838	188137
2007-01-05 08:00:00	1.3083	1.31026	1.3076	1.30845	185957
2007-01-05 12:00:00	1.30852	1.30884	1.29804	1.30031	577186
2007-01-05 16:00:00	1.30025	1.30126	1.29927	1.29994	680220
2007-01-05 20:00:00	1.29961	1.30093	1.2994	1.29995	46602
2007-01-07 20:00:00	1.30097	1.30141	1.29837	1.2993	141100
2007-01-08 00:00:00	1.29933	1.30075	1.29891	1.29982	195892
2007-01-08 04:00:00	1.29968	1.30271	1.29933	1.30172	184363
2007-01-08 08:00:00	1.30182	1.30223	1.30003	1.30119	185994
2007-01-08 12:00:00	1.3012	1.30301	1.29722	1.30199	575235
2007-01-08 16:00:00	1.30198	1.30349	1.30084	1.30158	677344
2007-01-08 20:00:00	1.30145	1.30461	1.30073	1.30448	191796
2007-01-09 00:00:00	1.3046	1.30466	1.30277	1.30407	191319
2007-01-09 04:00:00	1.30376	1.30517	1.30246	1.30271	186073
2007-01-09 08:00:00	1.30285	1.30367	1.30062	1.30126	182853
2007-01-09 12:00:00	1.30123	1.30275	1.29855	1.29925	571361
2007-01-09 16:00:00	1.29919	1.30138	1.2991	1.29966	678807
2007-01-09 20:00:00	1.29945	1.3003	1.29598	1.29673	193853
2007-01-10 00:00:00	1.29643	1.29731	1.29485	1.29705	195304
2007-01-10 04:00:00	1.29681	1.29974	1.29648	1.2979	192996
2007-01-10 08:00:00	1.29803	1.30002	1.29778	1.29871	186250
2007-01-10 12:00:00	1.29878	1.2992	1.29304	1.29385	579970
2007-01-10 16:00:00	1.29352	1.29416	1.29281	1.29375	673920
2007-01-10 20:00:00	1.2933	1.29471	1.29261	1.29459	195153
2007-01-11 00:00:00	1.29461	1.29633	1.29408	1.29556	192405
2007-01-11 04:00:00	1.29513	1.29703	1.29397	1.2963	181826
2007-01-11 08:00:00	1.2966	1.30124	1.29587	1.29819	183453
2007-01-11 12:00:00	1.29825	1.2991	1.28836	1.29004	575984
2007-01-11 16:00:00	1.29017	1.29094	1.28806	1.28892	679471
2007-01-11 20:00:00	1.28856	1.28975	1.28788	1.28822	190644
2007-01-12 00:00:00	1.28825	1.29065	1.28747	1.29011	190725
2007-01-12 04:00:00	1.2899	1.29164	1.28904	1.2909	185586
2007-01-12 08:00:00	1.29096	1.29148	1.28849	1.2888	182516
2007-01-12 12:00:00	1.28875	1.29418	1.28668	1.29223	571315
2007-01-12 16:00:00	1.29213	1.29309	1.29067	1.2915	675528
2007-01-12 20:00:00	1.29093	1.29245	1.29093	1.29212	48627
2007-01-14 20:00:00	1.29219	1.29276	1.29121	1.2916	146287
2007-01-15 00:00:00	1.29154	1.29373	1.29121	1.29339	194985
2007-01-15 04:00:00	1.2934	1.2955	1.2924	1.29387	180270
2007-01-15 08:00:00	1.29392	1.29529	1.29344	1.29397	181984
2007-01-15 12:00:00	1.29399	1.29454	1.2926	1.29336	573171
2007-01-15 16:00:00	1.29323	1.29419	1.29238	1.29338	674509
2007-01-15 20:00:00	1.29286	1.29392	1.29234	1.29249	190919
2007-01-16 00:00:00	1.2925	1.29437	1.29183	1.29414	197032
2007-01-16 04:00:00	1.2942	1.29715	1.29344	1.29532	184024
2007-01-16 08:00:00	1.29535	1.29875	1.29527	1.29596	184973
2007-01-16 12:00:00	1.29596	1.29655	1.29119	1.29155	578552
2007-01-16 16:00:00	1.29145	1.29236	1.29069	1.29112	683934
2007-01-16 20:00:00	1.29083	1.29237	1.29062	1.29207	194545
2007-01-17 00:00:00	1.29221	1.29302	1.2909	1.29241	191888
2007-01-17 04:00:00	1.29246	1.29381	1.29168	1.2925	183798
2007-01-17 08:00:00	1.29249	1.29323	1.29107	1.29162	184032
2007-01-17 12:00:00	1.29169	1.29491	1.28973	1.29455	575165
2007-01-17 16:00:00	1.29449	1.29494	1.29248	1.29312	670737
2007-01-17 20:00:00	1.29288	1.29485	1.29272	1.29341	192479
2007-01-18 00:00:00	1.29351	1.29756	1.29311	1.29678	192659
2007-01-18 04:00:00	1.29661	1.29707	1.29516	1.29555	185370
2007-01-18 08:00:00	1.29549	1.29576	1.29145	1.29228	182992
2007-01-18 12:00:00	1.29221	1.29613	1.28971	1.29378	571219
2007-01-18 16:00:00	1.2939	1.29676	1.29325	1.29594	672258
2007-01-18 20:00:00	1.29597	1.29663	1.29523	1.29637	191824
2007-01-19 00:00:00	1.29609	1.29995	1.29607	1.29975	194472
2007-01-19 04:00:00	1.29976	1.29998	1.29735	1.29814	182871
2007-01-19 08:00:00	1.29822	1.29842	1.29526	1.2962	183239
2007-01-19 12:00:00	1.29602	1.29659	1.29129	1.29659	581238
2007-01-19 16:00:00	1.29657	1.29701	1.29557	1.29577	676786
2007-01-19 20:00:00	1.29582	1.29684	1.29536	1.29536	46223
2007-01-21 20:00:00	1.29592	1.29704	1.29505	1.29675	142983
2007-01-22 00:00:00	1.2968	1.29758	1.2962	1.29709	192018
2007-01-22 04:00:00	1.29677	1.29769	1.29603	1.29649	184629
2007-01-22 08:00:00	1.29658	1.29733	1.29201	1.29295	180345
2007-01-22 12:00:00	1.29312	1.29659	1.29278	1.29551	580242
2007-01-22 16:00:00	1.29537	1.29566	1.2939	1.29472	672887
2007-01-22 20:00:00	1.29404	1.2952	1.29348	1.294	186981
2007-01-23 00:00:00	1.29412	1.29451	1.29288	1.29425	197279
2007-01-23 04:00:00	1.29421	1.29845	1.29343	1.29712	183689
2007-01-23 08:00:00	1.29718	1.30394	1.29694	1.30341	186072
2007-01-23 12:00:00	1.30328	1.30423	1.30147	1.30225	574070
2007-01-23 16:00:00	1.30216	1.30292	1.30032	1.302	678437
2007-01-23 20:00:00	1.30178	1.30309	1.30119	1.30233	186761
2007-01-24 00:00:00	1.30242	1.30356	1.30174	1.30325	191693
2007-01-24 04:00:00	1.3033	1.30357	1.29751	1.29773	186385
2007-01-24 08:00:00	1.29786	1.30145	1.29734	1.3009	181271
2007-01-24 12:00:00	1.30089	1.30109	1.29477	1.29618	577717
2007-01-24 16:00:00	1.29618	1.29644	1.29475	1.29565	670694
2007-01-24 20:00:00	1.29548	1.29712	1.29498	1.29522	200192
2007-01-25 00:00:00	1.29537	1.29679	1.29516	1.29612	189996
2007-01-25 04:00:00	1.29603	1.30002	1.29512	1.29892	184684
2007-01-25 08:00:00	1.29888	1.2995	1.29626	1.29735	184536
2007-01-25 12:00:00	1.29722	1.29899	1.29574	1.29769	584482
2007-01-25 16:00:00	1.29772	1.29853	1.29139	1.29338	669820
2007-01-25 20:00:00	1.29296	1.29438	1.29199	1.29334	195255
2007-01-26 00:00:00	1.29352	1.29386	1.29163	1.29188	194586
2007-01-26 04:00:00	1.2919	1.29369	1.2905	1.2923	182645
2007-01-26 08:00:00	1.29229	1.29275	1.28887	1.29038	180324
2007-01-26 12:00:00	1.29036	1.2921	1.28807	1.29069	579540
2007-01-26 16:00:00	1.29071	1.29275	1.29021	1.29101	673789
2007-01-26 20:00:00	1.2906	1.29187	1.2903	1.29144	45579
2007-01-28 20:00:00	1.29147	1.29246	1.28995	1.29019	142442
2007-01-29 00:00:00	1.2901	1.29099	1.28948	1.29024	193119
2007-01-29 04:00:00	1.2903	1.29225	1.28964	1.29115	184127
2007-01-29 08:00:00	1.29112	1.29271	1.2903	1.29153	182065
2007-01-29 12:00:00	1.29163	1.29471	1.29073	1.29454	573601
2007-01-29 16:00:00	1.29459	1.29655	1.29431	1.29488	685470
2007-01-29 20:00:00	1.29455	1.29679	1.29436	1.29466	192735
2007-01-30 00:00:00	1.29464	1.297	1.29458	1.29635	189990
2007-01-30 04:00:00	1.296	1.29686	1.29493	1.29573	183383
2007-01-30 08:00:00	1.29581	1.298	1.29493	1.29768	183448
2007-01-30 12:00:00	1.29761	1.29773	1.29448	1.29507	575547
2007-01-30 16:00:00	1.29497	1.29659	1.29491	1.2963	671078
2007-01-30 20:00:00	1.29601	1.29728	1.29518	1.29584	189401
2007-01-31 00:00:00	1.2959	1.29626	1.29497	1.29588	197621
2007-01-31 04:00:00	1.29583	1.29663	1.29322	1.29405	184032
2007-01-31 08:00:00	1.29395	1.29597	1.29239	1.29536	183433
2007-01-31 12:00:00	1.29545	1.30183	1.29273	1.2995	578822
2007-01-31 16:00:00	1.29965	1.30356	1.29943	1.30285	673739
2007-01-31 20:00:00	1.30248	1.3035	1.30171	1.30265	190317
2007-02-01 00:00:00	1.30284	1.3039	1.30247	1.30313	188529
2007-02-01 04:00:00	1.30304	1.30326	1.30128	1.30213	187922
2007-02-01 08:00:00	1.30208	1.30277	1.30011	1.3016	187692
2007-02-01 12:00:00	1.30155	1.30482	1.30115	1.30198	579558
2007-02-01 16:00:00	1.30195	1.30291	1.30116	1.30149	671293
2007-02-01 20:00:00	1.30102	1.30258	1.30102	1.30184	186203
2007-02-02 00:00:00	1.30178	1.30224	1.30092	1.30213	196290
2007-02-02 04:00:00	1.302	1.30235	1.30108	1.30186	186799
2007-02-02 08:00:00	1.302	1.3026	1.30117	1.30196	178616
2007-02-02 12:00:00	1.3018	1.30615	1.29562	1.2957	583969
2007-02-02 16:00:00	1.29583	1.29687	1.29474	1.29618	676308
2007-02-02 20:00:00	1.29594	1.29663	1.29562	1.29562	46828
2007-02-04 20:00:00	1.2961	1.29621	1.29498	1.29536	143264
2007-02-05 00:00:00	1.29537	1.29599	1.29318	1.29353	195461
2007-02-05 04:00:00	1.2936	1.29651	1.29274	1.29537	185269
2007-02-05 08:00:00	1.29553	1.29558	1.29185	1.29255	184997
2007-02-05 12:00:00	1.29263	1.2935	1.29126	1.29304	571014
2007-02-05 16:00:00	1.29304	1.2936	1.29191	1.29222	684557